state,Positive,Negative
Utah,50.0,89.7196261682243
Hawaii,46.07843137254902,89.2156862745098
Minnesota,46.02169981916817,91.77215189873418
Ohio,44.93865030674847,92.17791411042946
Oregon,44.8405253283302,91.55722326454033
Arkansas,41.46341463414634,92.6829268292683
Texas,44.28317535545024,91.79502369668246
North Dakota,40.27777777777778,91.66666666666666
Pennsylvania,45.34124629080119,92.10682492581603
Connecticut,40.94955489614243,89.61424332344214
Nebraska,42.42424242424242,92.20779220779221
Vermont,47.13375796178344,91.71974522292994
Nevada,46.865671641791046,89.25373134328358
Washington,44.56993918331885,92.70199826238054
Illinois,46.92923898531375,91.0547396528705
Oklahoma,43.75,93.359375
Delaware,38.70967741935484,96.7741935483871
Alaska,49.56521739130435,91.30434782608695
New Mexico,51.26050420168067,90.75630252100841
West Virginia,51.06382978723404,93.61702127659575
Missouri,44.6843853820598,90.03322259136213
Rhode Island,44.72049689440994,91.30434782608695
Georgia,42.485875706214685,92.09039548022598
Montana,47.25274725274725,93.4065934065934
Virginia,42.73255813953488,92.92635658914729
Michigan,45.994599459945995,90.81908190819082
North Carolina,47.9285134037368,91.87652315190901
Wyoming,45.45454545454545,94.8051948051948
Kansas,46.788990825688074,91.13149847094802
New Jersey,41.07997265892003,92.00273410799727
Maryland,45.88155207624234,91.83117767188563
Alabama,44.24552429667519,89.51406649616368
Arizona,43.575418994413404,92.73743016759776
Iowa,42.51968503937008,93.30708661417323
Massachusetts,43.403590944574546,93.20843091334895
Kentucky,46.00280504908836,91.72510518934082
Louisiana,45.220588235294116,89.33823529411765
Mississippi,43.35260115606936,91.32947976878613
Tennessee,45.354523227383865,91.0757946210269
New Hampshire,55.2,94.39999999999999
Florida,45.475910693302,93.18448883666275
Indiana,44.776119402985074,92.53731343283582
Idaho,35.78947368421053,93.6842105263158
South Carolina,50.57471264367817,93.10344827586206
South Dakota,42.10526315789473,89.47368421052632
California,46.350482315112544,91.86495176848875
New York,43.93195943735689,93.22865554465162
Wisconsin,44.53507340946166,91.51712887438825
Colorado,43.859649122807014,92.6450742240216
Maine,48.11715481171548,91.21338912133892
